ISO3,date,price
GBR,2023-08-01,86.54
DEU,2023-08-02,66.28
GBR,2023-08-02,80.3
DEU,2023-08-03,51.11
GBR,2023-08-03,70.3
DEU,2023-08-04,96.4
GBR,2023-08-04,91.97
DEU,2023-08-05,86.99
GBR,2023-08-05,88.32
DEU,2023-08-06,49.45
GBR,2023-08-06,70.39
DEU,2023-08-07,22.58
GBR,2023-08-07,84.12
DEU,2023-08-08,25.37
GBR,2023-08-08,84.66
DEU,2023-08-09,88.18
GBR,2023-08-09,91.5
DEU,2023-08-10,103.88
GBR,2023-08-10,94.05
DEU,2023-08-11,101.57
GBR,2023-08-11,94.83
DEU,2023-08-12,79.26
GBR,2023-08-12,76.45
DEU,2023-08-13,66.28
GBR,2023-08-13,83.77
DEU,2023-08-14,105.29
GBR,2023-08-14,96.47
DEU,2023-08-15,96.14
GBR,2023-08-15,97.39
DEU,2023-08-16,112.46
GBR,2023-08-16,104.97
DEU,2023-08-17,109.45
GBR,2023-08-17,98.56
DEU,2023-08-18,107.03
GBR,2023-08-18,95.18
DEU,2023-08-19,84.64
GBR,2023-08-19,63.54
DEU,2023-08-20,86.65
GBR,2023-08-20,96.76
DEU,2023-08-21,120.24
GBR,2023-08-21,105.05
DEU,2023-08-22,124.53
GBR,2023-08-22,108.85
DEU,2023-08-23,141.16
GBR,2023-08-23,131.93
DEU,2023-08-24,141.02
GBR,2023-08-24,136.36
DEU,2023-08-25,118.79
GBR,2023-08-25,111.57
DEU,2023-08-26,95.95
GBR,2023-08-26,99.15
DEU,2023-08-27,99.8
GBR,2023-08-27,98.93
DEU,2023-08-28,119.08
GBR,2023-08-28,104.99
DEU,2023-08-29,125.48
GBR,2023-08-29,109.18
DEU,2023-08-30,114.68
GBR,2023-08-30,107.53
DEU,2023-08-31,104.25
GBR,2023-08-31,104.8
DEU,2023-09-01,111.47
GBR,2023-09-01,106.92
DEU,2023-09-02,95.88
GBR,2023-09-02,97.43
DEU,2023-09-03,82.91
GBR,2023-09-03,97.27
DEU,2023-09-04,107.01
GBR,2023-09-04,102.6
DEU,2023-09-05,105.45
GBR,2023-09-05,99.13
DEU,2023-09-06,105.98
GBR,2023-09-06,100.8
DEU,2023-09-07,100.77
GBR,2023-09-07,102.95
DEU,2023-09-08,108.15
GBR,2023-09-08,105.37
DEU,2023-09-09,93.72
GBR,2023-09-09,97.25
DEU,2023-09-10,86.88
GBR,2023-09-10,98.8
DEU,2023-09-11,135.97
GBR,2023-09-11,116.79
DEU,2023-09-12,134.15
GBR,2023-09-12,112.4
DEU,2023-09-13,109.39
GBR,2023-09-13,103.7
DEU,2023-09-14,123.61
GBR,2023-09-14,102.88
DEU,2023-09-15,109.49
GBR,2023-09-15,104.58
DEU,2023-09-16,94.46
GBR,2023-09-16,95.97
DEU,2023-09-17,79.82
GBR,2023-09-17,97.36
DEU,2023-09-18,88.39
GBR,2023-09-18,91.62
DEU,2023-09-19,43.73
GBR,2023-09-19,66.94
DEU,2023-09-20,56.23
GBR,2023-09-20,62.84
DEU,2023-09-21,103.93
GBR,2023-09-21,97.79
DEU,2023-09-22,105.57
GBR,2023-09-22,101.28
DEU,2023-09-23,95.34
GBR,2023-09-23,105.24
DEU,2023-09-24,66.44
GBR,2023-09-24,51.31
DEU,2023-09-25,109.42
GBR,2023-09-25,82.73
DEU,2023-09-26,131.72
GBR,2023-09-26,106.18
DEU,2023-09-27,126.84
GBR,2023-09-27,102.96
DEU,2023-09-28,113.66
GBR,2023-09-28,76.3
DEU,2023-09-29,105.35
GBR,2023-09-29,90.96
DEU,2023-09-30,92.47
GBR,2023-09-30,103.58
