instance_id,tree_size,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,MIP_runtime,Con_total runtime,Con_eta runtime,Con_gamma_LT_runtime,Con_gamma_ST_runtime,Con_Master_runtime,Con_eta_n_iters,Con_eta_vars_fixed,Con_eta_judges_solved_min,Con_eta_gap_p90_max,Con_eta_unanimous_count,Con_gamma_LT_n_iters,Con_gamma_LT_vars_fixed,Con_gamma_LT_judges_solved_min,Con_gamma_LT_gap_p90_max,Con_gamma_LT_unanimous_count,Con_fix_history_json,MIPGap,has_solution,solve_status_code,solve_status,solve_outcome,gap_pruned,optimize_error,eta,gamma_LT,gamma_ST,alpha,scenarios,param_signature,seed,iss_pool,oos_pool
3,20,29393022.15177992,9842275.0,19550747.151773263,258750.0,9056250.0,527275.0,18893129.281864133,238524.02935618698,419093.8405595325,3744.7946169376373,,,,,,,,,,,,,,,,,0.01930064054991938,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1;CTV|5|Jan:1;CTV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,54;61;69;120;121;129;133;171;183;187;211;300;331;337;428;435;440;448;463;477,f625172cf7d9ff2c,200,1-500,501-1500
4,1,37903020.42860421,10789875.0,27113145.428604364,7848750.0,1811250.0,1129875.0,26379551.142381225,369872.89318885654,363721.3930341212,15.683737993240356,,,,,,,,,,,,,,,,,0.013827397827750226,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2,CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;SOV|5|Apr:1;SOV|5|Aug:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:2;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:2;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Jan:1;SOV2|5|Oct:1,220,f625172cf7d9ff2c,200,1-500,501-1500
4,3,28092273.080132004,10014775.0,18077498.08013202,431250.0,9056250.0,527275.0,17392722.722523298,250107.7809049139,434667.57670378557,95.73144197463989,,,,,,,,,,,,,,,,,0.019639787968047093,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1;CTV|5|Jan:1;CTV|5|Nov:1;CTV|5|Oct:1;CTV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,240;354;483,f625172cf7d9ff2c,200,1-500,501-1500
4,5,27484481.0105615,9033825.0,18450656.01056004,431250.0,8150625.0,451950.0,17789866.298254408,218077.44191171793,442712.2703953278,341.12329483032227,,,,,,,,,,,,,,,,,0.012524576690082672,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:1;SOV|5:1,CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Nov:1;CTV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,118;158;170;426;474,f625172cf7d9ff2c,200,1-500,501-1500
4,7,28658088.695166178,10090100.0,18567988.695167776,431250.0,9056250.0,602600.0,17922212.39075926,253342.08417099022,392434.2202358279,355.9443278312683,,,,,,,,,,,,,,,,,0.019884337322881567,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:2;CTV|5|Jan:2;CTV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,61;62;309;326;410;445;472,f625172cf7d9ff2c,200,1-500,501-1500
4,10,27546952.139813874,9756025.0,17790927.13981846,172500.0,9056250.0,527275.0,17158693.651584122,238411.75378370952,393821.73444614786,3116.683313846588,,,,,,,,,,,,,,,,,0.019998113730579203,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1;CTV|5|Jan:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,23;111;170;201;238;346;413;434;454;470,f625172cf7d9ff2c,200,1-500,501-1500
4,15,28574658.59035708,11189500.0,17385158.590351585,1380000.0,9056250.0,753250.0,16775980.93800455,218106.79787482967,391070.854477495,4955.057144165039,,,,,,,,,,,,,,,,,0.01999895928335297,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,SOV|5|Dec:1;SOV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Nov:1,65;79;110;228;245;251;256;272;286;347;379;429;436;454;458,f625172cf7d9ff2c,200,1-500,501-1500
4,20,29416261.835894994,10908900.0,18507361.835888676,948750.0,9056250.0,903900.0,17871422.246509816,238670.24689415956,397269.3424910482,10707.309614896774,,,,,,,,,,,,,,,,,0.01976500334539097,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Sep:1;SOV|5|Dec:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1,8;46;50;70;81;100;133;152;180;198;202;241;257;259;299;302;375;448;461;469,f625172cf7d9ff2c,200,1-500,501-1500
5,1,22614610.06260902,7577925.0,15036685.062609006,5088750.0,1811250.0,677925.0,14278737.391589532,541922.7917518583,216024.8792676241,14.063400983810425,,,,,,,,,,,,,,,,,0.010289072639947673,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2,CTV|5|Apr:1;CTV|5|Feb:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|Mar:1;CTV|5|May:1;CTV|5|Nov:2;CTV|5|Oct:2;CTV|5|Sep:1;SOV|5|Aug:1;SOV|5|Dec:1;SOV|5|Jan:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Jan:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,134,f625172cf7d9ff2c,200,1-500,501-1500
5,3,25509727.255259536,9508200.0,16001527.255259493,0.0,9056250.0,451950.0,15334708.336371092,250433.5283876752,416385.3905007576,102.459645986557,,,,,,,,,,,,,,,,,0.019972666212066142,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,12;35;159,f625172cf7d9ff2c,200,1-500,501-1500
