instance_id,tree_size,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,downtime_cost,travel_cost_S,travel_cost_M,runtime,MIPGap,gamma_LT,gamma_ST,scenarios,param_signature,seed,iss_pool,oos_pool,nested_trees
6,9,16356644.44195442,5811903.5,10544740.941954408,0.0,5811903.5,10543663.303039938,0.0,1077.6389144730854,98.22000002861023,0.0,SOV|3:1,,3;4;7;59;74;121;128;155;182,bc278e7235743ec2,400,1-200,201-300,1
6,12,16447847.03305331,5811903.5,10635943.533053316,0.0,5811903.5,10634865.894138835,0.0,1077.6389144730845,46.22200012207031,9.36432940762953e-05,SOV|3:1,,3;4;7;15;59;74;109;121;128;153;155;182,bc278e7235743ec2,400,1-200,201-300,1
7,1,20448963.27172946,6958887.0,13490076.271729466,1146983.5,5811903.5,13486196.771637361,1724.2222631569362,2155.2778289461703,1.2079999446868896,3.64350040533556e-16,SOV|3:1,CTV|3|Jan:2;SOV|3|Feb:1,95,bc278e7235743ec2,400,1-200,201-300,1
7,3,14632120.941898182,6003036.0,8629084.941898165,191132.5,5811903.5,8627719.932606503,287.3703771928227,1077.6389144730852,4.286999940872192,5.17454602815664e-05,SOV|3:1,CTV|3|Jan:1,11;54;95,bc278e7235743ec2,400,1-200,201-300,1
7,5,15494466.37466229,6003036.0,9491430.374662278,191132.5,5811903.5,9490007.891295174,344.84445263138724,1077.6389144730852,8.358000040054321,9.800609702514907e-05,SOV|3:1,CTV|3|Jan:1,11;54;95;103;184,bc278e7235743ec2,400,1-200,201-300,1
7,7,16002969.017644646,6003036.0,9999933.017644648,191132.5,5811903.5,9998609.061264016,246.31746616527658,1077.6389144730852,10.99400019645691,7.724553977517468e-05,SOV|3:1,CTV|3|Jan:1,11;48;54;95;103;126;184,bc278e7235743ec2,400,1-200,201-300,1
7,9,16365392.653115936,5811903.5,10553489.153115934,0.0,5811903.5,10552411.514201464,0.0,1077.6389144730854,19.528000116348267,9.302069927486584e-05,SOV|3:1,,11;48;54;95;103;126;128;158;184,bc278e7235743ec2,400,1-200,201-300,1
7,12,16997363.62142907,5811903.5,11185460.121429093,0.0,5811903.5,11184382.482514612,0.0,1077.6389144730845,28.986000061035156,5.899398768247197e-05,SOV|3:1,,11;20;48;54;94;95;103;125;126;128;158;184,bc278e7235743ec2,400,1-200,201-300,1
8,1,22510774.396757178,6576622.0,15934152.39675717,764718.5,5811903.5,15931997.118928224,0.0,2155.2778289461703,2.0310001373291016,5.682237555826368e-12,SOV|3:1,SOV|3|Nov:1,92,bc278e7235743ec2,400,1-200,201-300,1
8,3,18223975.14626233,5811903.5,12412071.646262312,0.0,5811903.5,12410994.007347843,0.0,1077.6389144730852,4.026000022888184,6.341089504515719e-05,SOV|3:1,,56;92;98,bc278e7235743ec2,400,1-200,201-300,1
8,5,18479600.620254286,5811903.5,12667697.120254304,0.0,5811903.5,12666619.48133983,0.0,1077.6389144730852,8.977999925613403,3.3081382227476426e-05,SOV|3:1,,56;92;98;118;143,bc278e7235743ec2,400,1-200,201-300,1
8,7,17932756.291311108,5811903.5,12120852.791311113,0.0,5811903.5,12119775.152396647,0.0,1077.6389144730852,13.348000049591064,4.4254988974889734e-05,SOV|3:1,,1;16;56;92;98;118;143,bc278e7235743ec2,400,1-200,201-300,1
8,9,17903674.487186696,5811903.5,12091770.987186735,0.0,5811903.5,12090693.348272266,0.0,1077.6389144730854,17.19700002670288,6.893014174291286e-05,SOV|3:1,,1;15;16;56;92;98;118;126;143,bc278e7235743ec2,400,1-200,201-300,1
8,12,16990126.54558157,5811903.5,11178223.045581587,0.0,5811903.5,11177145.406667106,0.0,1077.6389144730845,23.706000089645386,7.396282367629914e-05,SOV|3:1,,1;15;16;56;75;92;98;109;118;126;143;175,bc278e7235743ec2,400,1-200,201-300,1
9,1,23237028.462133825,6003036.0,17233992.462133825,191132.5,5811903.5,17230328.489824615,2586.333394735404,1077.6389144730852,1.2319998741149902,9.456219002979915e-05,SOV|3:1,CTV|3|Jan:1,96,bc278e7235743ec2,400,1-200,201-300,1
9,3,19340906.832003396,5811903.5,13529003.332003403,0.0,5811903.5,13527925.693088934,0.0,1077.6389144730852,4.2129998207092285,5.216259386001495e-05,SOV|3:1,,58;96;122,bc278e7235743ec2,400,1-200,201-300,1
9,5,18418054.56251774,5811903.5,12606151.062517703,0.0,5811903.5,12605073.42360323,0.0,1077.6389144730852,7.710000038146973,3.158635089233966e-05,SOV|3:1,,36;58;96;101;122,bc278e7235743ec2,400,1-200,201-300,1
9,7,19498821.584462143,6003036.0,13495785.584462151,191132.5,5811903.5,13493599.516949939,1108.4285977437446,1077.6389144730852,12.2739999294281,8.974722355713208e-05,SOV|3:1,CTV|3|Jan:1,36;58;60;96;101;122;146,bc278e7235743ec2,400,1-200,201-300,1
9,9,18220368.57305263,6003036.0,12217332.573052648,191132.5,5811903.5,12215297.032880865,957.9012573094088,1077.6389144730854,18.355000019073486,3.3381547458645465e-05,SOV|3:1,CTV|3|Jan:1,8;36;58;60;96;101;122;146;155,bc278e7235743ec2,400,1-200,201-300,1
