case_id,coalition,coalition_size,bases,count,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,runtime,MIPGap,eta,gamma_LT,gamma_ST,alpha,iss_scenarios,oos_scenarios,seed,standalone_cost,synergy,savings,CTV_ST_vessel_months,SOV_ST_vessel_months,CTV_LT_vessels,SOV_LT_vessels,CTV_LT_vessel_months,SOV_LT_vessel_months,CTV_total_vessel_months,SOV_total_vessel_months,SOV_share,avg_pairwise_distance,max_pairwise_distance,avg_distance_to_selected_base,max_distance_to_selected_base,range_distance_to_selected_base,total_turbines,turbine_range,has_stable_core
base_oos_501_1500,BCE,3,3;5;6;7,1000,40570608.92885047,14240450.0,26330158.92885065,3450000.0,9961875.0,828575.0,24923314.806682423,773276.1258418548,633567.9963262337,6.123654222726822,0.0117563580922656,5:1,CTV|5:3;SOV|5:1,SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Nov:1;SOV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV2|5|Nov:1;SOV2|5|Oct:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,45709440.59240146,0.1266639027420827,5138831.663550988,0.0,5.0,3.0,1.0,36.0,12.0,36.0,17.0,0.32075471698113206,164.096332241479,219.73582480441166,114.96474742422492,139.11286034359304,57.14013838686587,220.0,10.0,True
base_oos_501_1500,BCEF,4,3;5;6;7,1000,52811737.10918672,18713950.0,34097787.10918703,1207500.0,16301250.0,1205200.0,32016895.007157218,447228.703830022,1633663.3981995815,11.96148416852951,0.0100377313407365,6:1,CTV|6:2;SOV|6:2,CTV|6|Dec:2;CTV|6|Jan:2;CTV|6|Nov:1;CTV|6|Oct:1;SOV|6|Feb:1,SOV1|6|Apr:1;SOV1|6|Aug:1;SOV1|6|Dec:1;SOV1|6|Feb:1;SOV1|6|Jan:1;SOV1|6|Jul:1;SOV1|6|Jun:1;SOV1|6|Mar:1;SOV1|6|May:1;SOV1|6|Nov:1;SOV1|6|Oct:1;SOV1|6|Sep:1;SOV2|6|Apr:1;SOV2|6|Aug:1;SOV2|6|Dec:1;SOV2|6|Feb:1;SOV2|6|Jan:1;SOV2|6|Jul:1;SOV2|6|Jun:1;SOV2|6|Mar:1;SOV2|6|May:1;SOV2|6|Nov:1;SOV2|6|Oct:1;SOV2|6|Sep:1;SOV3|6|Feb:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,56469196.44854884,0.06925466836662525,3657459.339362122,6.0,1.0,2.0,2.0,24.0,24.0,30.0,25.0,0.45454545454545453,212.23346078861252,337.9627895608864,171.40939214279663,287.2585388901767,236.53036784658974,270.0,30.0,False
base_oos_501_1500,BCEFG,5,3;5;6;7,1000,60702226.9302882,21786750.0,38915476.9302883,3450000.0,17206875.0,1129875.0,35365196.856484346,1040035.2410817812,2510244.8327220147,32.04692076086998,0.0141108630928093,5:1,CTV|5:3;SOV|5:2,SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Nov:1;SOV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Apr:1;SOV2|5|Aug:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV2|5|Jul:1;SOV2|5|Jun:1;SOV2|5|Mar:1;SOV2|5|May:1;SOV2|5|Nov:1;SOV2|5|Oct:1;SOV2|5|Sep:1;SOV3|5|Dec:1;SOV3|5|Feb:1;SOV3|5|Jan:1;SOV3|5|Nov:1;SOV3|5|Oct:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,65766245.82984953,0.08342393937831895,5064018.899561323,0.0,5.0,3.0,2.0,36.0,24.0,36.0,29.0,0.4461538461538462,263.489596023474,454.6092381889175,191.49562762257824,383.6021091949793,301.6293872382521,330.0,30.0,False
base_oos_501_1500,BCEG,4,3;5;6;7,1000,50163539.5848065,17301750.0,32861789.584806688,6210000.0,9961875.0,1129875.0,30001654.27437991,991530.7533191897,1868604.557107448,17.68037501716614,0.0127454222354024,5:1,CTV|5:3;SOV|5:1,SOV|5|Dec:1;SOV|5|Feb:2;SOV|5|Jan:2;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV2|5|Mar:1;SOV2|5|Nov:1;SOV2|5|Oct:1;SOV2|5|Sep:1;SOV3|5|Feb:1;SOV3|5|Jan:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,55006489.97370215,0.0965432349666664,4842950.388895646,0.0,9.0,3.0,1.0,36.0,12.0,36.0,21.0,0.3684210526315789,274.2241401254078,454.6092381889175,182.1240878669135,383.6021091949793,301.6293872382521,280.0,20.0,False
base_oos_501_1500,BCF,3,3;5;6;7,1000,38554007.33845738,12731075.0,25822932.338456944,2846250.0,9056250.0,828575.0,24095159.144322265,392193.7579309094,1335579.4362042132,6.0366268663406375,0.0106737693036087,3:1,CTV|3:2;SOV|3:1,CTV|3|Oct:1;SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Nov:1,SOV1|3|Apr:1;SOV1|3|Aug:1;SOV1|3|Dec:1;SOV1|3|Feb:1;SOV1|3|Jan:1;SOV1|3|Jul:1;SOV1|3|Jun:1;SOV1|3|Mar:1;SOV1|3|May:1;SOV1|3|Nov:1;SOV1|3|Oct:1;SOV1|3|Sep:1;SOV2|3|Dec:1;SOV2|3|Feb:1;SOV2|3|Jan:1;SOV2|3|Nov:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,42299590.59070574,0.097151593590951,3745583.2522483543,1.0,4.0,2.0,1.0,24.0,12.0,25.0,16.0,0.3902439024390244,237.2886318403847,337.9627895608864,169.94214770562175,380.6455439564833,328.9993371153053,200.0,30.0,True
base_oos_501_1500,BCFG,4,3;5;6;7,1000,48557162.15367721,17302325.0,31254837.15367696,172500.0,16301250.0,828575.0,27997493.64294126,426889.6561902413,2830453.8545458894,19.08983358621597,0.0122403770377475,3:1,CTV|3:2;SOV|3:2,CTV|3|Dec:1;CTV|3|Jan:1,SOV1|3|Apr:1;SOV1|3|Aug:1;SOV1|3|Dec:1;SOV1|3|Feb:1;SOV1|3|Jan:1;SOV1|3|Jul:1;SOV1|3|Jun:1;SOV1|3|Mar:1;SOV1|3|May:1;SOV1|3|Nov:1;SOV1|3|Oct:1;SOV1|3|Sep:1;SOV2|3|Apr:1;SOV2|3|Aug:1;SOV2|3|Dec:1;SOV2|3|Feb:1;SOV2|3|Jan:1;SOV2|3|Jul:1;SOV2|3|Jun:1;SOV2|3|Mar:1;SOV2|3|May:1;SOV2|3|Nov:1;SOV2|3|Oct:1;SOV2|3|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,51596639.972006425,0.06259587017687847,3039477.818329215,2.0,0.0,2.0,2.0,24.0,24.0,26.0,24.0,0.48,304.7014361014219,454.6092381889175,253.80023667635217,505.37450358854346,453.72829674736545,260.0,30.0,False
base_oos_501_1500,BCG,3,3;5;6;7,1000,37411025.63916801,13259500.0,24151525.63916772,3450000.0,9056250.0,753250.0,21949089.56565748,383613.4652105882,1818822.6082999432,7.345205914735794,0.0101183380605804,3:1,CTV|3:2;SOV|3:1,SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Nov:1;SOV|3|Oct:1,SOV1|3|Apr:1;SOV1|3|Aug:1;SOV1|3|Dec:1;SOV1|3|Feb:1;SOV1|3|Jan:1;SOV1|3|Jul:1;SOV1|3|Jun:1;SOV1|3|Mar:1;SOV1|3|May:1;SOV1|3|Nov:1;SOV1|3|Oct:1;SOV1|3|Sep:1;SOV2|3|Dec:1;SOV2|3|Feb:1;SOV2|3|Jan:1;SOV2|3|Nov:1;SOV2|3|Oct:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,40836884.11585905,0.09157349787021839,3425858.4766910374,0.0,5.0,2.0,1.0,24.0,12.0,24.0,17.0,0.4146341463414634,323.7925910782972,454.6092381889175,211.5184675829751,505.37450358854346,453.72829674736545,210.0,20.0,True
base_oos_501_1500,BD,2,3;5;6;7,1000,31746495.900009327,10833575.0,20912920.90000937,948750.0,9056250.0,828575.0,20411503.42019514,203401.9549208872,298015.5248933251,2.7904142949581145,0.0088011998446993,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1;CTV|5|Jan:1;CTV|5|Nov:1;SOV|5|Feb:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Feb:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,32882253.187254153,0.035775831475135904,1135757.2872448266,3.0,1.0,2.0,1.0,24.0,12.0,27.0,13.0,0.325,91.74352060235238,91.74352060235238,78.78937817318406,123.80865997235452,90.03856359834091,170.0,30.0,True
base_oos_501_1500,BDE,3,3;5;6;7,1000,41818254.03143277,14240450.0,27577804.03143284,3450000.0,9961875.0,828575.0,26398984.19145188,593015.797827234,585804.0421536514,6.53096985912323,0.0110105026890262,5:1,CTV|5:3;SOV|5:1,SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Nov:1;SOV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV2|5|Nov:1;SOV2|5|Oct:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,47051859.04509726,0.12515120812386482,5233605.0136644915,0.0,5.0,3.0,1.0,36.0,12.0,36.0,17.0,0.32075471698113206,152.972110305018,219.73582480441166,98.89720556332038,139.11286034359304,105.34276396957944,240.0,30.0,True
base_oos_501_1500,BDEF,4,3;5;6;7,1000,53287365.29916212,16331150.0,36956215.29916241,5088750.0,9961875.0,1280525.0,34752247.97529868,879198.0703222189,1324769.2535411948,16.848567689180374,0.0136217320710502,5:1,CTV|5:3;SOV|5:1,CTV|5|Dec:1;CTV|5|Jan:1;CTV|5|Mar:1;SOV|5|Dec:1;SOV|5|Feb:2;SOV|5|Jan:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV2|5|Nov:1;SOV2|5|Oct:1;SOV2|5|Sep:1;SOV3|5|Feb:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,57811614.90124464,0.08490285786664065,4524249.602082521,3.0,7.0,3.0,1.0,36.0,12.0,39.0,19.0,0.3275862068965517,196.89360514898954,337.9627895608864,131.4183508337996,228.98178664523718,195.21169027122357,290.0,50.0,False
base_oos_501_1500,BDEFG,5,3;5;6;7,1000,61858134.8200527,21786750.0,40071384.820053056,3450000.0,17206875.0,1129875.0,36793511.99179229,867079.6226539022,2410793.205606685,38.09569049096108,0.0139125071035717,5:1,CTV|5:3;SOV|5:2,SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Nov:1;SOV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Apr:1;SOV2|5|Aug:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV2|5|Jul:1;SOV2|5|Jun:1;SOV2|5|Mar:1;SOV2|5|May:1;SOV2|5|Nov:1;SOV2|5|Oct:1;SOV2|5|Sep:1;SOV3|5|Dec:1;SOV3|5|Feb:1;SOV3|5|Jan:1;SOV3|5|Nov:1;SOV3|5|Oct:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,67108664.28254533,0.08488017748622051,5250529.46249263,0.0,5.0,3.0,2.0,36.0,24.0,36.0,29.0,0.4461538461538462,248.16272242197596,454.6092381889175,181.8551025060355,383.6021091949793,349.83201282096564,350.0,50.0,False
